municipio,uf,ng
Abadia de Goiás,GO,14
Abadia dos Dourados,MG,12
Abadiânia,GO,16
Abaeté,MG,14
Abaetetuba,PA,24
Abaiara,CE,8
Abaíra,BA,6
Abaré,BA,4
Abatiá,PR,14
Abdon Batista,SC,14
Abel Figueiredo,PA,14
Abelardo Luz,SC,18
Abre Campo,MG,10
Abreu e Lima,PE,2
Abreulândia,TO,28
Acaiaca,MG,14
Açailândia,MA,12
Acajutiba,BA,2
Acará,PA,24
Acarape,CE,2
Acaraú,CE,4
Acari,RN,8
Acauã,PI,4
Aceguá,RS,16
Acopiara,CE,4
Acorizal,MT,20
Acrelândia,AC,14
Acreúna,GO,14
Açu,RN,10
Açucena,MG,16
Adamantina,SP,16
Adelândia,GO,16
Adolfo,SP,12
Adrianópolis,PR,18
Adustina,BA,2
Afogados da Ingazeira,PE,8
Afonso Bezerra,RN,8
Afonso Cláudio,ES,10
Afonso Cunha,MA,12
Afrânio,PE,4
Afuá,PA,20
Agrestina,PE,4
Agricolândia,PI,10
Agrolândia,SC,14
Agronômica,SC,14
Água Azul do Norte,PA,20
Água Boa,MG,10
Água Boa,MT,18
Água Branca,PI,10
Água Branca,PB,8
Água Branca,AL,4
Água Clara,MS,26
Água Comprida,MG,16
Água Doce,SC,18
Água Doce do Maranhão,MA,4
Água Doce do Norte,ES,8
Água Fria,BA,4
Água Fria de Goiás,GO,16
Água Limpa,GO,18
Água Nova,RN,6
Água Preta,PE,2
Água Santa,RS,18
Aguaí,SP,12
Aguanil,MG,12
Águas Belas,PE,4
Águas da Prata,SP,14
Águas de Chapecó,SC,18
Águas de Lindoia,SP,14
Águas de Santa Bárbara,SP,14
Águas de São Pedro,SP,16
Águas Formosas,MG,8
Águas Frias,SC,20
Águas Lindas de Goiás,GO,14
Águas Mornas,SC,18
Águas Vermelhas,MG,6
Agudo,RS,18
Agudos,SP,14
Agudos do Sul,PR,14
Águia Branca,ES,10
Aguiar,PB,6
Aguiarnópolis,TO,12
Aimorés,MG,8
Aiquara,BA,6
Aiuaba,CE,4
Aiuruoca,MG,20
Ajuricaba,RS,24
Alagoa,MG,20
Alagoa Grande,PB,2
Alagoa Nova,PB,2
Alagoinha,PB,2
Alagoinha,PE,4
Alagoinha do Piauí,PI,6
Alagoinhas,BA,4
Alambari,SP,18
Albertina,MG,14
Alcântara,MA,8
Alcântaras,CE,8
Alcantil,PB,4
Alcinópolis,MS,24
Alcobaça,BA,4
Aldeias Altas,MA,12
Alecrim,RS,24
Alegre,ES,14
Alegrete,RS,26
Alegrete do Piauí,PI,4
Alegria,RS,20
Além Paraíba,MG,20
Alenquer,PA,16
Alexandria,RN,6
Alexânia,GO,16
Alfenas,MG,10
Alfredo Chaves,ES,12
Alfredo Marcondes,SP,12
Alfredo Vasconcelos,MG,20
Alfredo Wagner,SC,16
Algodão de Jandaíra,PB,2
Alhandra,PB,2
Aliança,PE,2
Aliança do Tocantins,TO,22
Almadina,BA,4
Almas,TO,26
Almeirim,PA,14
Almenara,MG,8
Almino Afonso,RN,6
Almirante Tamandaré,PR,12
Almirante Tamandaré do Sul,RS,16
Aloândia,GO,12
Alpercata,MG,10
Alpestre,RS,18
Alpinópolis,MG,14
Alta Floresta,MT,22
Alta Floresta D’Oeste,RO,16
Altair,SP,16
Altamira,PA,24
Altamira do Maranhão,MA,12
Altamira do Paraná,PR,22
Altaneira,CE,4
Alterosa,MG,12
Altinho,PE,4
Altinópolis,SP,16
Alto Alegre,RR,10
Alto Alegre,SP,12
Alto Alegre,RS,16
Alto Alegre do Maranhão,MA,14
Alto Alegre do Pindaré,MA,12
Alto Alegre dos Parecis,RO,16
Alto Araguaia,MT,24
Alto Bela Vista,SC,16
Alto Boa Vista,MT,20
Alto Caparaó,MG,12
Alto do Rodrigues,RN,8
Alto Feliz,RS,14
Alto Garças,MT,20
Alto Horizonte,GO,16
Alto Jequitibá,MG,12
Alto Longá,PI,14
Alto Paraguai,MT,18
Alto Paraíso,RO,16
Alto Paraíso,PR,24
Alto Paraíso de Goiás,GO,14
Alto Paraná,PR,18
Alto Parnaíba,MA,20
Alto Piquiri,PR,20
Alto Rio Doce,MG,20
Alto Rio Novo,ES,8
Alto Santo,CE,6
Alto Taquari,MT,22
Altônia,PR,20
Altos,PI,14
Alumínio,SP,16
Alvarães,AM,20
Alvarenga,MG,8
Álvares Florence,SP,14
Álvares Machado,SP,16
Álvaro de Carvalho,SP,14
Alvinlândia,SP,16
Alvinópolis,MG,18
Alvorada,TO,20
Alvorada,RS,12
Alvorada de Minas,MG,14
Alvorada do Gurgueia,PI,14
Alvorada do Norte,GO,18
Alvorada do Sul,PR,16
Alvorada D’Oeste,RO,16
Amajari,RR,12
Amambai,MS,24
Amapá,AP,4
Amapá do Maranhão,MA,6
Amaporã,PR,18
Amaraji,PE,2
Amaral Ferrador,RS,16
Amaralina,GO,18
Amarante,PI,10
Amarante do Maranhão,MA,10
Amargosa,BA,2
Amaturá,AM,18
Amélia Rodrigues,BA,4
América Dourada,BA,6
Americana,SP,18
Americano do Brasil,GO,16
Américo Brasiliense,SP,16
Américo de Campos,SP,14
Ametista do Sul,RS,18
Amontada,CE,4
Amorinópolis,GO,14
Amparo,PB,4
Amparo,SP,14
Amparo do São Francisco,SE,2
Amparo do Serra,MG,10
Ampére,PR,22
Anadia,AL,2
Anagé,BA,4
Anahy,PR,20
Anajás,PA,26
Anajatuba,MA,18
Analândia,SP,16
Anamã,AM,22
Ananás,TO,14
Ananindeua,PA,24
Anápolis,GO,16
Anapu,PA,12
Anapurus,MA,14
Anastácio,MS,22
Anaurilândia,MS,24
Anchieta,ES,10
Anchieta,SC,22
Andaraí,BA,6
Andirá,PR,16
Andorinha,BA,4
Andradas,MG,14
Andradina,SP,18
André da Rocha,RS,14
Andrelândia,MG,20
Angatuba,SP,16
Angelândia,MG,8
Angélica,MS,22
Angelim,PE,2
Angelina,SC,20
Angical,BA,10
Angical do Piauí,PI,10
Angico,TO,14
Angicos,RN,8
Angra dos Reis,RJ,16
Anguera,BA,4
Ângulo,PR,18
Anhanguera,GO,12
Anhembi,SP,16
Anhumas,SP,16
Anicuns,GO,18
Anísio de Abreu,PI,6
Anita Garibaldi,SC,14
Anitápolis,SC,16
Anori,AM,28
Anta Gorda,RS,18
Antas,BA,2
Antonina,PR,18
Antonina do Norte,CE,4
Antônio Almeida,PI,8
Antônio Cardoso,BA,4
Antônio Carlos,MG,26
Antônio Carlos,SC,20
Antônio Dias,MG,16
Antônio Gonçalves,BA,4
Antônio João,MS,24
Antônio Martins,RN,6
Antônio Olinto,PR,12
Antônio Prado,RS,14
Antônio Prado de Minas,MG,14
Aparecida,PB,8
Aparecida,SP,20
Aparecida de Goiânia,GO,14
Aparecida do Rio Doce,GO,16
Aparecida do Rio Negro,TO,22
Aparecida do Taboado,MS,18
Aparecida d’Oeste,SP,16
Aperibé,RJ,18
Apiacá,ES,12
Apiacás,MT,24
Apiaí,SP,20
Apicum-Açu,MA,2
Apiúna,SC,18
Apodi,RN,6
Aporá,BA,2
Aporé,GO,18
Apuarema,BA,4
Apucarana,PR,18
Apuí,AM,24
Apuiarés,CE,4
Aquidabã,SE,4
Aquidauana,MS,24
Aquiraz,CE,2
Arabutã,SC,18
Araçagi,PB,2
Araçaí,MG,10
Aracaju,SE,2
Araçariguama,SP,16
Araçás,BA,4
Aracati,CE,4
Aracatu,BA,4
Araçatuba,SP,14
Araci,BA,4
Aracitaba,MG,22
Aracoiaba,CE,4
Araçoiaba,PE,2
Araçoiaba da Serra,SP,18
Aracruz,ES,8
Araçu,GO,14
Araçuaí,MG,8
Aragarças,GO,16
Aragoiânia,GO,14
Aragominas,TO,18
Araguacema,TO,24
Araguaçu,TO,18
Araguaiana,MT,14
Araguaína,TO,20
Araguainha,MT,20
Araguanã,TO,18
Araguanã,MA,12
Araguapaz,GO,14
Araguari,MG,14
Araguatins,TO,14
Araioses,MA,6
Aral Moreira,MS,26
Aramari,BA,4
Arambaré,RS,12
Arame,MA,8
Aramina,SP,14
Arandu,SP,14
Arantina,MG,22
Arapeí,SP,22
Arapiraca,AL,2
Arapoema,TO,22
Araponga,MG,10
Arapongas,PR,18
Araporã,MG,16
Arapoti,PR,16
Arapuá,MG,10
Arapuã,PR,16
Araputanga,MT,20
Araquari,SC,18
Arara,PB,2
Araranguá,SC,12
Araraquara,SP,16
Araras,SP,16
Ararendá,CE,4
Arari,MA,18
Araricá,RS,14
Araripe,CE,4
Araripina,PE,6
Araruama,RJ,14
Araruna,PB,2
Araruna,PR,18
Arataca,BA,4
Aratiba,RS,18
Aratuba,CE,4
Aratuípe,BA,2
Arauá,SE,2
Araucária,PR,14
Araújos,MG,12
Araxá,MG,14
Arceburgo,MG,16
Arco-Íris,SP,14
Arcos,MG,14
Arcoverde,PE,4
Areado,MG,10
Areal,RJ,18
Arealva,SP,12
Areia,PB,2
Areia Branca,RN,6
Areia Branca,SE,2
Areia de Baraúnas,PB,6
Areial,PB,2
Areias,SP,20
Areiópolis,SP,14
Arenápolis,MT,18
Arenópolis,GO,12
Arês,RN,2
Argirita,MG,20
Aricanduva,MG,8
Arinos,MG,14
Aripuanã,MT,22
Ariquemes,RO,14
Ariranha,SP,16
Ariranha do Ivaí,PR,16
Armação dos Búzios,RJ,10
Armazém,SC,16
Arneiroz,CE,2
Aroazes,PI,14
Aroeiras,PB,2
Aroeiras do Itaim,PI,12
Arraial,PI,10
Arraial do Cabo,RJ,6
Arraias,TO,14
Arroio do Meio,RS,20
Arroio do Padre,RS,14
Arroio do Sal,RS,14
Arroio do Tigre,RS,18
Arroio dos Ratos,RS,12
Arroio Grande,RS,16
Arroio Trinta,SC,18
Artur Nogueira,SP,16
Aruanã,GO,12
Arujá,SP,22
Arvoredo,SC,18
Arvorezinha,RS,18
Ascurra,SC,18
Aspásia,SP,12
Assaí,PR,12
Assaré,CE,4
Assis,SP,16
Assis Brasil,AC,14
Assis Chateaubriand,PR,22
Assunção,PB,4
Assunção do Piauí,PI,8
Astolfo Dutra,MG,16
Astorga,PR,18
Atalaia,AL,2
Atalaia,PR,18
Atalaia do Norte,AM,20
Atalanta,SC,14
Ataleia,MG,10
Atibaia,SP,18
Atílio Vivácqua,ES,10
Augustinópolis,TO,14
Augusto Corrêa,PA,6
Augusto de Lima,MG,10
Augusto Pestana,RS,26
Áurea,RS,18
Aurelino Leal,BA,4
Aurifama,SP,14
Aurilândia,GO,14
Aurora,CE,6
Aurora,SC,16
Aurora do Pará,PA,18
Aurora do Tocantins,TO,18
Autazes,AM,22
Avaí,SP,14
Avanhandava,SP,10
Avaré,SP,16
Aveiro,PA,18
Avelino Lopes,PI,10
Avelinópolis,GO,14
Axixá,MA,12
Axixá do Tocantins,TO,12
Babaçulândia,TO,18
Bacabal,MA,16
Bacabeira,MA,16
Bacuri,MA,4
Bacurituba,MA,12
Bady Bassitt,SP,14
Baependi,MG,16
Bagé,RS,18
Bagre,PA,18
Baía da Traição,PB,2
Baía Formosa,RN,2
Baianópolis,BA,12
Baião,PA,22
Baixa Grande,BA,4
Baixa Grande do Ribeiro,PI,16
Baixio,CE,4
Baixo Guandu,ES,8
Balbinos,SP,12
Baldim,MG,10
Baliza,GO,16
Balneário Arroio do Silva,SC,12
Balneário Barra do Sul,SC,16
Balneário Camboriú,SC,16
Balneário Gaivota,SC,12
Balneário Piçarras,SC,16
Balneário Pinhal,RS,10
Balneário Rincão,SC,12
Balsa Nova,PR,12
Bálsamo,SP,12
Balsas,MA,22
Bambuí,MG,14
Banabuiú,CE,4
Bananal,SP,22
